time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.010286,3.860638,0.876758,-9.358071
0.034431,3.754093,0.995126,-9.244043
0.066868,3.832506,0.756894,-8.951491
0.100704,3.803924,0.785925,-8.847490
0.133698,3.632433,0.869725,-8.966306
0.166849,3.710397,0.671598,-8.916176
0.200665,3.904783,0.847877,-8.952838
0.233145,3.610435,0.876459,-8.972441
0.266839,3.755888,0.809868,-8.827437
0.300544,3.836845,0.726965,-8.710716
0.333513,3.567787,0.949933,-9.194063
0.366841,3.880990,0.987344,-9.007458
0.400879,3.825472,0.905938,-9.147224
0.433556,3.494163,0.826179,-9.001622
0.466956,3.533369,0.712749,-8.735108
0.500883,3.451963,0.578220,-8.759051
0.533593,3.361430,0.899354,-8.866195
0.567001,3.627944,1.010988,-9.147374
0.600798,3.341377,1.466651,-9.670975
0.633575,3.222860,1.243982,-9.256613
0.667064,3.365021,0.611441,-8.975883
0.700769,3.404078,0.653191,-8.519173
0.733592,2.997797,0.442644,-8.144317
0.767184,2.820470,-0.073774,-7.742526
0.800961,2.284599,-1.216298,-6.508121
0.833668,1.931292,-2.114604,-5.651116
0.867351,3.723715,-3.024583,-6.074606
0.900996,3.841783,-5.015732,-5.154002
0.933398,3.083543,-6.398283,-5.916134
0.967084,3.435353,-7.431119,-7.189595
1.001108,3.103146,-8.534736,-7.359889
1.033461,0.972230,-8.003354,-5.514941
1.067103,1.750074,-9.486764,-8.268671
1.100801,0.777096,-14.067036,-13.890307
1.133269,3.271943,-8.727626,-13.385861
1.171099,4.254050,-13.085976,-19.948752
1.201256,3.936208,-8.178735,-18.573234
1.233372,6.096454,-1.435076,-22.184567
1.267576,6.973212,0.663218,-21.556515
1.300167,6.404419,-0.515370,-22.140721
1.333163,2.655115,4.892427,-14.470473
1.367226,2.351639,4.946448,-12.551452
1.401316,0.391616,2.792337,-11.832717
1.433616,7.216830,-6.044528,-18.896013
1.467180,-0.379046,-21.982848,-10.052115
1.500182,-10.945334,-22.792117,11.503652
1.533503,-2.459083,-19.622081,12.370683
1.567365,6.424172,-13.346205,2.272777
1.600222,11.483450,-6.717622,0.107444
1.633702,14.418098,-8.455575,-0.747167
1.667359,26.024255,-12.914785,-10.044932
1.700500,25.216632,-12.383702,-10.428467
1.733581,16.360314,-17.223903,-14.702569
1.767198,16.896185,-18.988493,-14.134225
1.800702,14.469425,-13.987725,-8.564964
1.833703,6.433001,-5.473939,-15.518123
1.867201,1.650113,-10.293938,-18.277988
1.900126,1.473833,-6.069069,-19.271917
1.933166,-5.735365,6.568876,-16.102778
1.967198,-1.366240,3.305164,-10.858990
2.000896,-5.520777,-3.442087,-8.476974
2.033230,-3.791803,-5.210118,-2.803710
2.067196,-5.679997,-4.080913,5.087711
2.100314,-3.612830,-9.734723,1.890439
2.133175,5.874982,-6.276025,1.293663
2.167205,21.511473,-18.237584,-6.618558
2.200340,24.076802,-17.111372,-9.460427
2.234118,24.467819,-25.381239,0.047736
2.266870,24.823969,-8.256699,-2.314677
2.300042,7.340884,-11.093181,0.857903
2.334477,4.915771,-12.452837,-24.098799
2.366998,3.729850,-2.305399,-19.658594
2.400046,-14.098161,3.962396,-13.380174
2.433580,-5.189617,0.401342,-7.136023
2.467622,-6.660608,-3.941296,1.046303
2.500186,0.420946,-3.752447,2.888109
2.533233,3.436251,-14.153080,6.780172
2.566994,5.304992,-10.650537,5.800759
2.601212,24.878888,-19.247076,-7.572681
2.633942,26.104913,-19.321448,-7.831863
2.667199,16.260053,-14.470623,-1.903309
2.700080,12.530502,-4.245221,-8.537579
2.733150,2.703300,-7.906684,-14.810312
2.767210,-1.020266,-5.510452,-16.206930
2.800551,-10.376990,-1.537731,-10.204751
2.833271,-12.331477,0.450425,-1.421758
2.867208,-1.574244,-3.369510,5.511948
2.900418,5.730128,-0.550836,-2.058189
2.933513,1.056330,-5.562378,2.540039
2.967208,9.202143,-8.845844,5.856875
3.000134,28.161306,-18.117272,-7.027532
3.033914,19.023659,-27.907961,-13.728094
3.067001,15.185467,-25.426731,-7.396103
3.100179,8.850183,-4.977424,-6.736626
3.133393,-1.634999,-1.942365,-17.011560
3.166941,0.742528,-3.475607,-19.769928
3.200175,-1.973790,-3.655927,-10.153124
3.233133,-10.439541,-3.111376,1.320300
3.267204,-2.364209,-4.660779,11.108295
3.300247,3.880840,-5.323398,-2.833639
3.333503,-1.740347,-4.818503,9.001771
3.367310,9.763155,-3.348411,14.577917
3.403767,27.513502,-16.124177,-13.770443
3.433476,23.559037,-27.964077,-13.156458
3.467153,17.477698,-31.003774,-8.298001
3.500084,16.446059,-5.093696,-13.857535
3.533552,-10.724910,-3.730449,-14.063893
3.567216,-6.951813,-1.369832,-12.185276
3.600660,-3.846572,1.083265,-3.055559
3.633356,-9.513850,-2.006562,1.219889
3.667209,-2.175060,-6.176064,9.119989
3.700507,0.720531,1.228868,4.718242
3.733169,-4.541813,-3.857346,9.515196
3.767227,12.901317,-0.395955,10.248746
3.800118,30.859817,-21.629242,-9.794281
3.833231,29.444494,-26.939471,-12.184378
3.867272,26.205024,-28.566839,-21.719028
3.900518,-12.167019,-8.258196,-6.676320
3.935225,4.208558,-1.700243,-19.800605
3.966813,2.369297,-5.905509,-17.673281
3.999999,-11.408030,-2.478536,-2.865812
4.033682,-12.351379,0.672645,18.260031
4.066746,3.501944,11.726321,0.464492
4.100658,-21.872112,-10.917201,0.709008
4.133463,-5.450295,-5.474388,17.738525
4.166505,15.138629,-6.428661,2.025118
4.200628,13.664795,-9.378273,-2.530313
4.233133,9.354480,-32.500952,-11.505298
4.266749,17.218815,-30.060425,-17.451959
4.300308,15.584265,-20.554955,-5.250522
4.333475,4.999720,-4.810572,6.134313
4.366672,2.075997,0.970883,4.053678
4.400274,2.073902,-2.505622,-0.774253
4.433588,-2.117747,-4.057569,1.323742
4.466845,-0.691051,-2.938838,1.684680
4.500520,1.376565,-11.061906,-0.936166
4.533561,4.134934,-15.309970,-0.607401
4.566877,3.290050,-17.074260,-0.080059
4.600535,1.990850,-8.596987,4.807130
4.633717,2.511458,-10.232884,2.263200
4.666840,2.135255,-12.504464,1.059023
4.700550,-1.153897,-10.651136,2.191521
4.733318,-1.238146,-12.437574,1.335713
4.766846,-2.377527,-9.410596,3.001389
4.800537,0.395506,-5.440868,3.741223
4.833634,-0.457608,-6.742911,2.791888
4.866841,-3.249197,-8.096581,4.326477
4.900531,-2.151566,-9.564279,5.159988
4.933424,-2.581341,-8.250265,5.847747
4.967122,-2.006263,-8.891335,4.799648
5.000538,-3.539355,-8.863052,5.679249
5.033175,-0.551584,-7.517912,2.555153
5.066999,-1.063213,-9.012546,4.941360
5.100537,-1.743041,-7.745519,5.142181
5.133135,-1.003506,-8.681087,6.203149
5.167246,-1.351874,-13.212874,9.652269
5.200267,3.827867,-16.011496,3.827867
5.233617,4.143613,-14.738633,3.013959
5.267186,1.859763,-14.488131,-1.714010
5.300274,4.448286,-8.759948,-9.682497
5.333503,6.119648,-2.895591,-11.765677
5.367093,-0.700628,-1.724785,-8.449290
5.400271,2.068963,-0.936914,-7.920152
5.433289,6.470711,-1.193851,-9.468059
5.467045,3.918550,-2.993757,-13.122190
5.500272,7.191391,-2.764354,-16.347893
5.533506,7.863737,-3.756188,-15.881007
5.567015,4.533433,-8.865596,-9.188376
5.600266,1.164072,-11.627107,-0.329214
5.633781,0.078413,-19.301546,1.751571
5.667126,-1.433729,-18.737991,5.400913
5.700044,1.019517,-13.280512,4.682926
5.733506,5.572254,-16.648526,-1.831779
5.767585,8.830580,-19.265033,-10.880539
5.800139,14.490525,-21.755690,-13.786156
5.833541,12.431139,-25.383634,-13.634867
5.869172,17.559552,-29.873521,-22.128002
5.900024,10.684806,-26.730869,-29.901205
5.933507,1.510945,-22.989496,-29.170199
5.967117,-9.405059,-21.232239,-22.790770
6.000054,-23.143030,-17.925130,-17.354541
6.033140,-19.281643,-18.384085,-8.131598
6.067009,-13.242952,-18.581763,-1.720595
6.100179,-2.626234,-15.677044,9.508313
6.133884,-6.093311,-15.392274,-1.663730
6.166842,14.296289,-11.371068,3.242314
6.199997,16.446807,-9.160393,10.209839
6.233114,20.721208,-8.066054,-3.418144
6.267410,28.070323,-4.835861,-1.206870
6.300301,28.044734,-8.476674,-0.974625
6.333138,6.970967,-11.479559,-7.173434
6.367211,20.419678,-17.198015,-4.315852
6.399795,13.805460,-9.785601,-12.320852
6.433140,0.221621,-1.057227,-18.030628
6.467219,7.701674,-5.375773,-23.665433
6.499848,-11.190748,0.082603,-12.486058
6.533453,-12.586768,0.781735,-4.487642
6.567228,-8.412029,-2.948864,-0.689854
6.599867,-4.129696,0.522852,-1.144320
6.633455,6.208237,-8.401703,0.206507
6.667204,8.548653,-13.342913,1.903309
6.699841,23.358965,-16.892145,0.778742
6.733455,22.793464,-32.331257,-4.825835
6.767252,14.699277,-17.845670,1.807388
6.800072,12.641238,-9.503973,-4.378852
6.833276,4.424493,-7.910126,-14.501599
6.867780,8.191156,-3.060348,-15.709517
6.899786,-9.862667,-0.442494,-10.118108
6.933443,-12.057780,-1.252511,-8.695452
6.967349,-10.461089,0.467036,-4.995381
6.999801,0.039206,-1.613750,4.123711
7.033112,3.981550,-8.511392,0.671897
7.067574,12.769332,-15.247569,-1.966907
7.099768,25.395007,-11.881800,3.796890
7.133454,16.733074,-15.250412,0.301082
7.166942,18.397553,-20.676465,-5.867500
7.200136,10.867370,3.838042,-3.149984
7.233511,4.417909,-4.149449,-14.257381
7.267852,-1.364295,-6.741864,-14.726662
7.299780,-4.467740,1.877869,-10.537258
7.333446,-8.846741,-3.552524,-12.227325
7.367875,-8.774763,-1.207319,-3.035956
7.400021,-0.195883,-3.093419,2.848453
7.433328,3.812304,-15.015772,-0.889627
7.467816,16.680101,-15.816661,1.807238
7.500067,17.690939,-22.280189,0.419599
7.533623,21.426476,-24.766806,-3.296784
7.566995,18.578770,-13.526525,-3.258774
7.600202,6.189831,-0.864936,-7.575973
7.633339,-3.332099,-2.629376,-19.851783
7.667446,1.310573,-1.298901,-17.908969
7.700013,-11.646112,0.090833,-10.039545
